lat,lon,type,title,link
54.4383445,18.5577435,sport,VolleySport,https://www.google.com/maps/place/VolleySport/data=!4m7!3m6!1s0x46fd0a976cf00001:0x4043fd7131253472!8m2!3d54.4383445!4d18.5577435!16s%2Fg%2F11hwz452xc!19sChIJAQDwbJcK_UYRcjQlMXH9Q0A?authuser=0&hl=en&rclk=1
54.4339981,18.566912,sport,Półkolonie i Obozy | Youth Sport,https://www.google.com/maps/place/P%C3%B3%C5%82kolonie+i+Obozy+%7C+Youth+Sport/data=!4m7!3m6!1s0x46fd0bb0947db7ad:0x2530379ba724633d!8m2!3d54.4339981!4d18.566912!16s%2Fg%2F11p0_glsv1!19sChIJrbd9lLAL_UYRPWMkp5s3MCU?authuser=0&hl=en&rclk=1
54.433273,18.561054,sport,Infamous Team - ciuchy trzeba zapierdalać,https://www.google.com/maps/place/Infamous+Team+-+ciuchy+trzeba+zapierdala%C4%87/data=!4m7!3m6!1s0x46fd0b7d80085d89:0x96286f94c1968625!8m2!3d54.433273!4d18.561054!16s%2Fg%2F11fm42h9vr!19sChIJiV0IgH0L_UYRJYaWwZRvKJY?authuser=0&hl=en&rclk=1
54.4386913,18.5657057,sport,REHIS Sopot- rehabilitacja i sport,https://www.google.com/maps/place/REHIS+Sopot-+rehabilitacja+i+sport/data=!4m7!3m6!1s0xaffe6cba12aed10d:0x86307bc030b62cc1!8m2!3d54.4386913!4d18.5657057!16s%2Fg%2F11jzhllwxl!19sChIJDdGuErps_q8RwSy2MMB7MIY?authuser=0&hl=en&rclk=1
54.4287768,18.5903448,sport,Academy of Sport Championship,https://www.google.com/maps/place/Academy+of+Sport+Championship/data=!4m7!3m6!1s0x46fd0b8b0706c239:0x85abbec3b3c0b857!8m2!3d54.4287768!4d18.5903448!16s%2Fg%2F11tjnzt9wz!19sChIJOcIGB4sL_UYRV7jAs8O-q4U?authuser=0&hl=en&rclk=1
54.430652,18.562491,sport,Profi Moto Sport. Naprawa motocykli i skuterów.,https://www.google.com/maps/place/Profi+Moto+Sport.+Naprawa+motocykli+i+skuter%C3%B3w./data=!4m7!3m6!1s0x46fd0abef75318b3:0x9e4aac2d8e75ac9f!8m2!3d54.430652!4d18.562491!16s%2Fg%2F1vrq8bbq!19sChIJsxhT974K_UYRn6x1ji2sSp4?authuser=0&hl=en&rclk=1
54.4318677,18.5868083,sport,SURFOTEKA SURF&SKI,https://www.google.com/maps/place/SURFOTEKA+SURF%26SKI/data=!4m7!3m6!1s0x46fd0ae86ce02aad:0x954ef95e084c16ce!8m2!3d54.4318677!4d18.5868083!16s%2Fg%2F1tjf8z7h!19sChIJrSrgbOgK_UYRzhZMCF75TpU?authuser=0&hl=en&rclk=1
54.414926,18.5983477,sport,Sport Halls,https://www.google.com/maps/place/Sport+Halls/data=!4m7!3m6!1s0x46fd0b28ee155555:0x19cc0db345829bd!8m2!3d54.414926!4d18.5983477!16s%2Fg%2F11h53wsyty!19sChIJVVUV7igL_UYRvSlYNNvAnAE?authuser=0&hl=en&rclk=1
54.4327315,18.5853498,sport,OŚRODEK TERAPII EDUKACJI I AKTYWIZACJI SPORTOWEJ DLA DZIECI w Uzdrowisku Sopot,https://www.google.com/maps/place/O%C5%9ARODEK+TERAPII+EDUKACJI+I+AKTYWIZACJI+SPORTOWEJ+DLA+DZIECI+w+Uzdrowisku+Sopot/data=!4m7!3m6!1s0x46fd0ae8ff5290e5:0xf130e5570a60f1f8!8m2!3d54.4327315!4d18.5853498!16s%2Fg%2F11b7xrwrbz!19sChIJ5ZBS_-gK_UYR-PFgClflMPE?authuser=0&hl=en&rclk=1
54.4148178,18.5979728,sport,Przymorze Sports Park. tennis club,https://www.google.com/maps/place/Przymorze+Sports+Park.+tennis+club/data=!4m7!3m6!1s0x46fd0b28c29f0219:0x462d8dcb39dc8015!8m2!3d54.4148178!4d18.5979728!16s%2Fg%2F1hc9q7nfq!19sChIJGQKfwigL_UYRFYDcOcuNLUY?authuser=0&hl=en&rclk=1
54.417723,18.449633,sport,AkbiSport - BMC LAB Gdańsk,https://www.google.com/maps/place/AkbiSport+-+BMC+LAB+Gda%C5%84sk/data=!4m7!3m6!1s0x46fd9f43a3cadb6b:0x64e390c5256abd8e!8m2!3d54.417723!4d18.449633!16s%2Fg%2F11h7r_8jcg!19sChIJa9vKo0Of_UYRjr1qJcWQ42Q?authuser=0&hl=en&rclk=1
54.3827882,18.6059568,sport,Sportsdirect,https://www.google.com/maps/place/Sportsdirect/data=!4m7!3m6!1s0x46fd74c00c618d33:0xf242a964081f74f8!8m2!3d54.3827882!4d18.6059568!16s%2Fg%2F11ddwh_3dt!19sChIJM41hDMB0_UYR-HQfCGSpQvI?authuser=0&hl=en&rclk=1
51.9537505,19.1343786,sport,everest-sport.pl,https://www.google.com/maps/place/everest-sport.pl/data=!4m7!3m6!1s0x46fd74d859cad605:0xcef9a204035ca054!8m2!3d51.9537505!4d19.1343786!16s%2Fg%2F11hcysxfh1!19sChIJBdbKWdh0_UYRVKBcAwSi-c4?authuser=0&hl=en&rclk=1
54.4354021,18.5504056,sport,Dystrybutor Kettler w Polsce - sportpoland.com,https://www.google.com/maps/place/Dystrybutor+Kettler+w+Polsce+-+sportpoland.com/data=!4m7!3m6!1s0x46fd98b4e5eb7625:0xb6d0ced4a70af64f!8m2!3d54.4354021!4d18.5504056!16s%2Fg%2F11m2f2h20f!19sChIJJXbr5bSY_UYRT_YKp9TO0LY?authuser=0&hl=en&rclk=1
54.4181112,18.5614793,sport,SPORTEVO,https://www.google.com/maps/place/SPORTEVO/data=!4m7!3m6!1s0x46fd0bd1a3a5f35d:0x4bbcf996dcd40f2c!8m2!3d54.4181112!4d18.5614793!16s%2Fg%2F11h0rxj2yn!19sChIJXfOlo9EL_UYRLA_U3Jb5vEs?authuser=0&hl=en&rclk=1
54.4183609,18.5607063,sport,nartygdansk.pl,https://www.google.com/maps/place/nartygdansk.pl/data=!4m7!3m6!1s0x46fd0ac835ce2f91:0x6ef6191e630f3f6d!8m2!3d54.4183609!4d18.5607063!16s%2Fg%2F11h0kpg55!19sChIJkS_ONcgK_UYRbT8PYx4Z9m4?authuser=0&hl=en&rclk=1
54.427381,18.56212,sport,Bicycles Sopot R-S Grzegorz Sadowski. Bicycle Shop Service.,https://www.google.com/maps/place/Bicycles+Sopot+R-S+Grzegorz+Sadowski.+Bicycle+Shop+Service./data=!4m7!3m6!1s0x46fd0ab8da5a3fc7:0xf5bd56512027b2b9!8m2!3d54.427381!4d18.56212!16s%2Fg%2F11b7vy3dtb!19sChIJxz9a2rgK_UYRubInIFFWvfU?authuser=0&hl=en&rclk=1
54.4188658,18.5603768,sport,Akademia Leszka Blanika AZS AWFiS,https://www.google.com/maps/place/Akademia+Leszka+Blanika+AZS+AWFiS/data=!4m7!3m6!1s0x46fd0bba4497b9d7:0x4238ee43c4dbac6d!8m2!3d54.4188658!4d18.5603768!16s%2Fg%2F11h5drrw_9!19sChIJ17mXRLoL_UYRbazbxEPuOEI?authuser=0&hl=en&rclk=1
54.4236967,18.5865723,sport,SmileDreamBeHappy,https://www.google.com/maps/place/SmileDreamBeHappy/data=!4m7!3m6!1s0x46fd0adb83513b75:0xb8487d7c1dcb2b1b!8m2!3d54.4236967!4d18.5865723!16s%2Fg%2F1tjdkfnw!19sChIJdTtRg9sK_UYRGyvLHXx9SLg?authuser=0&hl=en&rclk=1
54.403086,18.581388,sport,Posport,https://www.google.com/maps/place/Posport/data=!4m7!3m6!1s0x46fd7595986287fd:0x6c0dbb9ea614e10!8m2!3d54.403086!4d18.581388!16s%2Fg%2F11ptwdcbm7!19sChIJ_YdimJV1_UYREE5h6rnbwAY?authuser=0&hl=en&rclk=1
